VideoName,VideoNumber,Plays,Tags,
Professor Gerbrandy overleden,26735,17,Den Haag;4 en 5 mei,
De terugkeer van de koningin - Den Haag (1945),32534,24,Den Haag;4 en 5 mei,
Nationale kampioenschappen kunstrijden op de schaats,49053,22,Den Haag;sport;winter,
Tentoonstelling Mauritshuis,50753,16,Den Haag;Madurodam,
Kerstboomverbranding,80279,17,Den Haag;Haarlem,
Vuilnis van een grote stad,122995,11,Den Haag;onderwijs;onderwijsfilm,
Op bezoek bij de openluchtschool,131503,15,Den Haag;onderwijs;Gezondheid en zorg,
Nieuwe bestemming voor mozaïek uit de verwoeste Duinoordkerk,651011,0,Den Haag;kerk;Duinoordkerk,
Russische soldaten op Vredehof te Amersfoort begraven,24761,18,Amersfoort;4 en 5 mei,
Opening van het Russische erekerkhof,25326,15,Amersfoort;4 en 5 mei,
Nu zijn jongeren aan de beurt om veldslagen te beramen,20565,25,Amersfoort;4 en 5 mei;oorlogsmonument;getuigenverhaal,
Een dag regeringscentrum,140322,12,Delft;water;politiek;Wetenschap en onderzoek,
Bij de klokkenmaker,140362,11,Delft;Wetenschap en onderzoek,
Zuinigheidsmarathon voor zelfgebouwde mobielen,22022,20,Delft;Eindhoven;techniek en innovatie,
Studentenlustrum,634396,4,Delft;studenten;universiteit,
Schoonmaken van de stranden,899,31,zomer;Scheveningen,
De lange hete zomer,1983,36,zomer,
"Zomer" in Nederland,927,35,zomer;water;Scheveningen,
Zomermode van Frank Govers,2319,14,zomer;Mode en beauty,
De winterse zomer van 1956,703,30,zomer,
Opening vacantieoord voor PTT personeel,1181,6,zomer,
De eerste groep kinderen naar het Vacantie Kinderhuis,787,27,zomer;jeugd;vakantie,
Eindelijk zomer en hoe,647,24,zomer,
10-jarig bestaan Bio-vacantie oord,2109,20,zomer;vakantie,
Kinderen met vakantie naar Duitsland,815,21,zomer,
Amsterdammers met vakantie,2305,17,zomer;vakantie,
Kampeertrein voor de Amsterdamse jeugd,1857,35,zomer,
Buitenlands toerisme in Nederland,1885,29,zomer,
