Tag,VideoName,VideoNumber,Plays,Total Videos,
Brielle,Historisch stadje,1167,25,1,
Delft,Delft 700 jaar stad,829,34,6,
Delft,De oude Delft,1759,33,6,
Delft,Een dag regeringscentrum,140322,12,6,
Delft,Bij de klokkenmaker,140362,11,6,
Delft,Zuinigheidsmarathon voor zelfgebouwde mobielen,22022,20,6,
Delft,Studentenlustrum,634396,4,6,
zomer,'Hier is het' droomeiland voor ondernemende jongens uit Amsterdam-Oost,633,34,48,
zomer,Warm vakantieweer in de hoofdstad,1731,33,48,
zomer,Schoonmaken van de stranden,899,31,48,
zomer,De lange hete zomer,1983,36,48,
zomer,"Zomer" in Nederland,927,35,48,
zomer,Zomermode van Frank Govers,2319,14,48,
zomer,De winterse zomer van 1956,703,30,48,
zomer,Opening vacantieoord voor PTT personeel,1181,6,48,
zomer,De eerste groep kinderen naar het Vacantie Kinderhuis,787,27,48,
zomer,Eindelijk zomer en hoe,647,24,48,
zomer,10-jarig bestaan Bio-vacantie oord,2109,20,48,
zomer,Kinderen met vakantie naar Duitsland,815,21,48,
zomer,Amsterdammers met vakantie,2305,17,48,
zomer,Kampeertrein voor de Amsterdamse jeugd,1857,35,48,
zomer,Buitenlands toerisme in Nederland,1885,29,48,
zomer,Caravan,731,26,48,
zomer,Bejaarde Amerikaanse toeristen per caravan door Europa,857,24,48,
zomer,Badende kinderen in het Amstelkanaal,2801,32,48,
zomer,Edam aan zee,2277,34,48,
zomer,Stormloop op het kampeerterrein,2081,28,48,
zomer,Branden vernielen honderden hectare natuurgebied,2583,32,48,
zomer,Het stille strand,1479,27,48,
zomer,Noordzee badplaatsen,2263,29,48,
zomer,Strandopnamen,2914,24,48,
zomer,Drukte op het strand,3104,31,48,
zomer,Nieuwste strand- en badpakken,2193,29,48,
zomer,Zandbouwwedstrijd op het strand,2946,20,48,
zomer,Kamp van de Rode Valken,1633,21,48,
zomer,Vakantie in Nederland,885,20,48,
zomer,Een dag in het kamp,955,31,48,
zomer,Strandgenoegens,2839,25,48,
zomer,Zomerfeest in het kleuterhuis van de NSB,2613,29,48,
zomer,Zon is leven,2011,23,48,
zomer,Noordwijk aan Zee als badplaats en tenniscentrum,3192,10,48,
zomer,De zon,2979,17,48,
zomer,Nieuwste caravans en tenten op RAI-tentoonstelling in Amsterdam,1871,19,48,
zomer,Jeugd zomermode,913,23,48,
zomer,Vakantiebezigheden voor kinderen,2025,28,48,
zomer,Voorbereiding voor de zomer,507,22,48,
zomer,Zomer valt weer echt in het water,2221,35,48,
zomer,Caravan behendigheidsproeven,1307,24,48,
zomer,Vakantietrek naar het water,1997,37,48,
zomer,Hoe warm het was,675,25,48,
zomer,De mooie; warme zomer,2389,23,48,
zomer,Verkeerscontrole op vakantie auto's,591,31,48,
zomer,Vakantie 1947,549,34,48,
zomer,Kampeer-auto's op Caravan-RAI,8742,25,48,
zomer,ANWB-instructie voor caravanrijders,650525,1,48,
Zoetermeer,Snelst groeiende gemeente van ons land,2629,33,1,
Paramaribo,Nieuws uit de West: Paramaribo,2536,32,1,
Nijmegen,Stadsopname Nijmegen,1927,28,14,
Nijmegen,Wederopbouw het stadhuis en de St. Stevenskerk gerestaureerd,1591,25,14,
Nijmegen,Britse kinderen bezoeken graven van hun gesneuvelde vaders,20306,34,14,
Nijmegen,De zwaar getroffen stad Nijmegen,24277,31,14,
Nijmegen,Nijmegen herrijst,24318,32,14,
Nijmegen,Kranslegging op de Waalbrug bij de gedenksteen,24562,25,14,
Nijmegen,Joodse weeskinderen arriveren in ons land,25199,25,14,
Nijmegen,Opheffing van het KNIL-centrum,25589,31,14,
Nijmegen,Plechtige inwijding van Titus Brandsma Kapel in Nijmegen,26039,23,14,
Nijmegen,De 39ste Vierdaagse afstandsmarsen,27874,19,14,
Nijmegen,Bevrijding van Nijmegen - intocht (1944),32759,37,14,
Nijmegen,Bevrijding van Nijmegen (1944),32730,37,14,
Nijmegen,Onthulling monument Nijmegen (1959),32476,11,14,
Nijmegen,Herdenking op Jonkerbosch (1959),32462,26,14,
Deventer,Via leegstand en verval naar opbouw van de oude binnenstad,1815,28,3,
Deventer,Deventer,3895,30,3,
Deventer,Europese schaatskampioenschappen heren,49248,29,3,
Enkhuizen,Enkhuizen 600 jaar stad,1451,37,1,
Hoorn,Hoorn 600 jaar stad,1349,30,1,
Haarlem,Haarlem 700 jaar stad,1321,32,6,
Haarlem,Beeldhouwer Mari Andriessen 80 jaar,21407,22,6,
Haarlem,Herdenking van de tien gefusilleerde gijzelaars in Haarlem,24700,17,6,
Haarlem,Historische klederdrachten,27678,24,6,
Haarlem,Tentoonstelling van Delftse keramiek,28024,14,6,
Haarlem,Kerstboomverbranding,80279,17,6,
Dordrecht,Stadsopname Dordrecht,1251,29,4,
Dordrecht,Dordrecht; Holland's aelteste Stadt,3901,37,4,
Dordrecht,Dordrecht; Holland's aelteste Stadt,3928,31,4,
Dordrecht,Dordrecht; Holland's aelteste Stadt,3941,32,4,
Eindhoven,Wederopbouw van Eindhovens winkelcentrum,1209,36,97,
